0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
29,29,15,38.0,32.0,29.0,41.0,29.0,15.0,38.0,10.0,32.0,41.0,29.0,15.0,33.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,15.0,38.0,32.0,29.0,15.0,38.0,32.0,29.0,15.0,38.0,32.0,34.0,29.0,41.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,29.0,29.0,7.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,41.0,9.0,9.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,32.0,29.0,29.0,29.0,37.0,29.0,37.0,29.0,29.0,37.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,32.0,29.0,41.0,29.0,41.0,29.0,15.0,33.0,29.0,32.0,34.0,34.0,29.0,29.0,15.0,38.0,32.0,29.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,31.0,32.0,31.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,29.0,10.0,24.0,29.0,41.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,41,29.0,29.0,29.0,20.0,3.0,41.0,29.0,29.0,41.0,9.0,29.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,32.0,34.0,34.0,10.0,29.0,15.0,33.0,27.0,27.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,15.0,38.0,32.0,29.0,15.0,38.0,32.0,29.0,41.0,29.0,15.0,38.0,10.0,32.0,29.0,41.0,29.0,41.0,9.0,29.0,29.0,29.0,10.0,32.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,32.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,41.0,29.0,41.0,9.0,29.0,29.0,29.0,29.0,29.0,29.0,41.0,9.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,38,32.0,29.0,41.0,29.0,29.0,7.0,29.0,41.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,32.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,15.0,33.0,27.0,27.0,29.0,29.0,29.0,41.0,29.0,4.0,8.0,29.0,29.0,29.0,29.0,32.0,29.0,15.0,38.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,29.0,41.0,29.0,29.0,10.0,32.0,29.0,10.0,32.0,34.0,29.0,29.0,29.0,32.0,34.0,34.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,10.0,32.0,29.0,41.0,29.0,15.0,33.0,29.0,29.0,33.0,29.0,29.0,18.0,7.0,40.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,20,3.0,3.0,29.0,32.0,10.0,29.0,32.0,10.0,29.0,15.0,29.0,15.0,29.0,29.0,15.0,38.0,29.0,29.0,29.0,41.0,29.0,15.0,38.0,29.0,32.0,29.0,29.0,29.0,32.0,10.0,24.0,24.0,24.0,29.0,41.0,29.0,15.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,20.0,3.0,3.0,29.0,7.0,40.0,40.0,40.0,29.0,11.0,22.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,14.0,36.0,29.0,15.0,17.0,29.0,29.0,29.0,29.0,29.0,15.0,33.0,29.0,29.0,32.0,10.0,24.0,24.0,24.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,41,29,20.0,3.0,3.0,29.0,32.0,10.0,29.0,29.0,29.0,29.0,32.0,10.0,24.0,29.0,41.0,29.0,41.0,29.0,29.0,32.0,10.0,29.0,29.0,29.0,15.0,13.0,29.0,11.0,29.0,4.0,8.0,29.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,37.0,29.0,31.0,32.0,31.0,29.0,41.0,29.0,41.0,9.0,29.0,29.0,29.0,29.0,29.0,41.0,9.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,32.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,32.0,29.0,15.0,29.0,29.0,29.0,15.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,32.0,34.0,29.0,29.0,29.0,4.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,32.0,29.0,29.0,29.0,29.0,38.0,29.0,29.0,32.0,29.0,29.0,29.0,15.0,38.0,29.0,29.0,32.0,29.0,29.0,29.0,13.0,29.0,15.0,38.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,32.0,29.0,41.0,29.0,29.0,29.0,21.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,41,29.0,41.0,9.0,9.0,29.0,29.0,29.0,29.0,32.0,29.0,15.0,38.0,29.0,29.0,41.0,29.0,15.0,17.0,18.0,19.0,7.0,29.0,29.0,15.0,17.0,29.0,29.0,29.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,41,9,29.0,29.0,41.0,9.0,29.0,11.0,7.0,40.0,40.0,29.0,29.0,29.0,29.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,15.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,29,41.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,29.0,32.0,29.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,15.0,38.0,29.0,29.0,29.0,32.0,29.0,32.0,29.0,41.0,29.0,41.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,29.0,29.0,41.0,29.0,29.0,29.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,9.0,9.0,9.0,9.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,41.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,38,29.0,29.0,32.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,15.0,17.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,29.0,15.0,33.0,29.0,29.0,15.0,33.0,41.0,9.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,24,32.0,10.0,29.0,41.0,29.0,10.0,24.0,29.0,15.0,38.0,32.0,29.0,32.0,29.0,15.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,32.0,31.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,41,29.0,29.0,32.0,34.0,29.0,29.0,20.0,3.0,3.0,29.0,29.0,10.0,29.0,32.0,29.0,15.0,38.0,29.0,29.0,10.0,32.0,29.0,15.0,38.0,29.0,29.0,41.0,29.0,33.0,15.0,29.0,41.0,29.0,32.0,10.0,29.0,15.0,38.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,29.0,29.0,10.0,29.0,29.0,32.0,34.0,29.0,15.0,38.0,29.0,29.0,10.0,32.0,29.0,15.0,38.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,41,29,15.0,33.0,29.0,29.0,32.0,29.0,41.0,29.0,41.0,29.0,29.0,6.0,42.0,29.0,10.0,32.0,29.0,29.0,29.0,37.0,29.0,29.0,41.0,29.0,29.0,16.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,32,10.0,29.0,41.0,4.0,29.0,15.0,33.0,29.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,15.0,38.0,32.0,29.0,32.0,29.0,15.0,33.0,27.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,34,34.0,31.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,21.0,0.0,0.0,29.0,10.0,29.0,32.0,29.0,15.0,38.0,29.0,15.0,38.0,39.0,29.0,29.0,41.0,29.0,15.0,38.0,29.0,29.0,15.0,38.0,39.0,10.0,29.0,32.0,34.0,34.0,29.0,32.0,29.0,38.0,29.0,15.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,
29,29,32,29.0,15.0,38.0,32.0,10.0,29.0,15.0,38.0,29.0,29.0,41.0,4.0,29.0,29.0,29.0,29.0,41.0,29.0,31.0,32.0,34.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,32.0,34.0,34.0,29.0,32.0,10.0,29.0,29.0,41.0,29.0,32.0,34.0,29.0,29.0,29.0,32.0,10.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,24,32.0,34.0,29.0,29.0,41.0,29.0,10.0,32.0,29.0,11.0,29.0,15.0,13.0,29.0,29.0,41.0,15.0,38.0,29.0,29.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,32,34.0,34.0,10.0,29.0,41.0,29.0,15.0,33.0,29.0,41.0,29.0,10.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,29,32.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,32.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,10.0,24.0,29.0,32.0,29.0,32.0,29.0,15.0,38.0,29.0,15.0,38.0,29.0,29.0,41.0,29.0,29.0,10.0,29.0,32.0,29.0,10.0,32.0,29.0,15.0,38.0,29.0,15.0,38.0,29.0,29.0,,,,,,,,,,,,,,,,,,
29,41,29,15.0,33.0,29.0,29.0,32.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,18.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,29.0,29.0,41.0,29.0,41.0,29.0,29.0,6.0,42.0,29.0,10.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,32,29.0,41.0,29.0,4.0,29.0,41.0,29.0,29.0,32.0,5.0,29.0,15.0,33.0,27.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,10,32.0,29.0,41.0,29.0,11.0,22.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31,29,41.0,29.0,20.0,3.0,3.0,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,29.0,10.0,32.0,29.0,10.0,32.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34,29,32.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,29,32.0,34.0,29.0,32.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,29,41.0,29.0,29.0,38.0,39.0,29.0,37.0,29.0,37.0,29.0,15.0,30.0,30.0,29.0,41.0,29.0,29.0,7.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,41,29,15.0,33.0,29.0,15.0,33.0,29.0,32.0,34.0,29.0,32.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29,29,41.0,29.0,29.0,32.0,29.0,29.0,38.0,39.0,29.0,37.0,29.0,37.0,29.0,37.0,29.0,15.0,30.0,30.0,30.0,30.0,29.0,15.0,38.0,29.0,37.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,37.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,
29,29,32,29.0,41.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,41.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,32.0,29.0,29.0,29.0,29.0,10.0,24.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,32.0,34.0,34.0,29.0,32.0,34.0,34.0,34.0,34.0,34.0,29.0,29.0,37.0,29.0,37.0,38.0,39.0,29.0,15.0,30.0,30.0,29.0,41.0,29.0,29.0,7.0,40.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,32.0,34.0,29.0,15.0,38.0,29.0,29.0,41.0,29.0,41.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34,29,29.0,15.0,38.0,39.0,39.0,29.0,29.0,29.0,37.0,29.0,37.0,29.0,29.0,41.0,29.0,29.0,7.0,40.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,41,29,6.0,42.0,29.0,32.0,29.0,29.0,7.0,40.0,29.0,41.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,32.0,29.0,41.0,29.0,15.0,33.0,29.0,32.0,29.0,29.0,29.0,10.0,24.0,24.0,32.0,29.0,41.0,29.0,41.0,9.0,9.0,29.0,29.0,7.0,40.0,29.0,15.0,33.0,29.0,15.0,33.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,41.0,32.0,29.0,15.0,38.0,29.0,29.0,32.0,34.0,29.0,32.0,29.0,15.0,38.0,29.0,29.0,10.0,32.0,29.0,41.0,29.0,41.0,29.0,29.0,41.0,29.0,32.0,34.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,4.0,8.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,41.0,29.0,15.0,33.0,29.0,32.0,10.0,29.0,41.0,29.0,41.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,32.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,32,29.0,29.0,41.0,29.0,29.0,32.0,29.0,41.0,29.0,32.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28,28,29.0,31.0,28.0,32.0,31.0,28.0,29.0,29.0,29.0,20.0,3.0,3.0,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32,29,41.0,29.0,29.0,29.0,29.0,41.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
